Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
06-10-2025,15:38,C3.AI INC CLASS A,US12468P1049,NSY,ARCX,-15,"19,6400",USD,"294,60",USD,"252,08","1,1687","-0,63","-2,00","249,45",67ed9945-77bf-48aa-82c6-d12d5b27ecf8
23-09-2025,17:35,UPSTART HOLDINGS INC,US91680M1071,NDQ,BATS,1,"65,0000",USD,"-65,00",USD,"-55,14","1,1788","-0,14",,"-55,28",d253737e-35e9-4060-9763-d586e579509c
23-09-2025,17:35,UPSTART HOLDINGS INC,US91680M1071,NDQ,BATS,2,"65,0000",USD,"-130,00",USD,"-110,27","1,1789","-0,28","-2,00","-112,55",d253737e-35e9-4060-9763-d586e579509c
22-09-2025,16:17,C3.AI INC CLASS A,US12468P1049,NSY,CDED,7,"17,8900",USD,"-125,23",USD,"-106,43","1,1767","-0,27",,"-106,69",a1e1cbac-bf19-4b05-9bbd-52478aff5682
22-09-2025,16:17,C3.AI INC CLASS A,US12468P1049,NSY,CDED,4,"17,8850",USD,"-71,54",USD,"-60,80","1,1767","-0,15",,"-60,95",a1e1cbac-bf19-4b05-9bbd-52478aff5682
22-09-2025,16:17,C3.AI INC CLASS A,US12468P1049,NSY,CDED,4,"17,8850",USD,"-71,54",USD,"-60,80","1,1767","-0,15","-2,00","-62,95",a1e1cbac-bf19-4b05-9bbd-52478aff5682
07-08-2025,14:56,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,8,"103,9180",EUR,"-831,34",EUR,"-831,34",,"0,00","-1,00","-832,34",0407928b-b3d2-4964-bf2e-9baa2bccd7d8
07-08-2025,14:55,VANGUARD FTSE ALL-WORLD UCITS ETF USD DIS,IE00B3RBWM25,EAM,XAMS,6,"132,2200",EUR,"-793,32",EUR,"-793,32",,"0,00","-1,00","-794,32",eb89707e-8b1a-4d22-a9aa-451be1d7cdf8
09-06-2025,11:20,VANGUARD FTSE ALL-WORLD UCITS ETF USD DIS,IE00B3RBWM25,EAM,XAMS,7,"128,5600",EUR,"-899,92",EUR,"-899,92",,"0,00","-1,00","-900,92",b548c5e6-9b52-4853-a316-ad9d037ad7ff
09-06-2025,11:19,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,8,"99,6800",EUR,"-797,44",EUR,"-797,44",,"0,00","-1,00","-798,44",9070e396-7597-4daf-b93e-a2addeb50870
